ФИО,Год,Специальность,Средний балл ЦЭ/ЦТ,Средний балл аттестата,Средний балл при поступлении,Адрес,Телефон,Форма обучения,Математика,Физика,Химия,История,Обществознание
Вера Аркадьевна Назарова,2024,Математика,74.6,9.1,41.8,"клх Билибино, ул. Целинная, д. 7 стр. 783, 882513",8 562 839 54 47,Очная,78,91,68,54,82
Тихонова Мария Никифоровна,2022,Химия,71.0,6.2,38.6,"д. Кяхта, алл. Северная, д. 1/1, 201383",+7 941 686 3050,Вечерняя,60,78,97,58,62
Олег Алексеевич Сафонов,2023,Математика,74.4,8.6,41.5,"п. Шерегеш, ш. Суворова, д. 953, 623500",+76561095687,Очная,63,92,75,79,63
Ширяев Демьян Филатович,2023,История Беларуси,69.6,6.8,38.2,"с. Сузун, ш. Орджоникидзе, д. 881 стр. 25, 410113",8 418 736 42 43,Заочная,92,41,63,83,69
Добромысл Адрианович Тетерин,2022,Химия,75.8,8.1,41.9,"ст. Мичуринск, наб. 50 лет Победы, д. 48 к. 8, 751866",8 181 692 57 12,Очная,99,60,72,51,97
Зинаида Никифоровна Жданова,2023,Математика,79.8,7.6,43.7,"г. Кизилюрт, бул. Вишневый, д. 6/2 к. 33, 668866",8 (353) 228-49-31,Заочная,83,64,88,66,98
Виноградов Венедикт Игнатьевич,2024,Математика,72.2,8.5,40.4,"клх Сосногорск, алл. Высотная, д. 5/2 стр. 20, 059450",+7 (667) 013-04-10,Заочная,67,99,55,54,86
Твердислав Матвеевич Харитонов,2024,Биология,81.2,9.4,45.3,"г. Белореченск, наб. Весенняя, д. 215 к. 6/1, 477025",+7 (964) 765-9338,Заочная,83,94,91,96,42
Рыбаков Ярополк Глебович,2021,Математика,57.8,9.8,33.8,"клх Белокуриха, пр. Луначарского, д. 40, 882579",+7 950 174 2472,Заочная,46,60,48,78,57
Матвей Ануфриевич Евсеев,2022,Математика,77.2,6.1,41.6,"д. Катайск, ш. Лунное, д. 3 к. 6, 525902",+7 (911) 706-2838,Заочная,99,53,89,97,48
Лука Ярославович Жданов,2021,История Беларуси,70.4,6.5,38.4,"п. Каменномостский, пр. Максима Горького, д. 8/6 стр. 4, 140099",8 (876) 355-0073,Очная,41,59,67,86,99
Панфилова Иванна Эдуардовна,2022,Биология,63.2,7.0,35.1,"ст. Лотошино, пер. Жуковского, д. 5/5 стр. 9/6, 374304",8 975 558 43 41,Очная,47,86,74,53,56
